Dataset,Om,w0,wa,H0
Pantheon_Uncorr,0.3146,-0.9152,-0.4944,69.6591
Pantheon_Lin,0.3918,-0.6200,-1.8087,70.7482
Pantheon_Poly,0.3202,-0.8776,-0.6067,69.2440
DES_Uncorr,0.3258,-0.8452,-0.9287,70.5311
DES_Lin,0.3920,-0.5437,-1.9048,69.6607
DES_Poly,0.3411,-0.7607,-1.4169,71.1721
