Dataset,q0_mean,q0_std,State
Pantheon_Uncorr,-0.49617004311361596,0.0760933266175996,Accelerating
Pantheon_Lin,-0.3822309213455042,0.09941812690295078,Accelerating
Pantheon_Poly,-0.5004465853581129,0.07545734216594184,Accelerating
DES_Uncorr,-0.5473481637947589,0.059273332913744994,Accelerating
DES_Lin,-0.3162330896865707,0.11497420764783595,Accelerating
DES_Poly,-0.5237945101905872,0.05310975661949387,Accelerating
