Dataset,q0_median,q0_upper,q0_lower,State
Pantheon_Uncorr,-0.41919657832848556,0.08728544043853209,0.08890096125870794,Accelerating
Pantheon_Lin,-0.09819783584840741,0.13480513039030734,0.15447784400599035,Accelerating
Pantheon_Poly,-0.3918170333394496,0.09548426182487552,0.08786765972178523,Accelerating
DES_Uncorr,-0.3476579859910751,0.10875743861313547,0.10901273607329726,Accelerating
DES_Lin,-0.14386421191744392,0.16940471665562845,0.1707648515493977,Accelerating
DES_Poly,-0.27761431762201894,0.1073974841941295,0.1072332880657717,Accelerating
